Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2019,85.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2018,53.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2017,86.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2016,38.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2015,94.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2014,76.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2013,79.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2012,38.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2011,24.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2019,18.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2018,14.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2017,19.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2016,28.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2015,15.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2014,25.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2013,17.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2012,14.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2011,16.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2019,63.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2018,65.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2017,69.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2016,51.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2015,71.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2014,63.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2013,82.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2012,52.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2011,38.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2019,23.0
