Comunidad,Grupo Penal,Año,Hechos conocidos
Total Nacional,Acceso e interceptación ilícita,2019,4004.0
Total Nacional,Acceso e interceptación ilícita,2018,3384.0
Total Nacional,Acceso e interceptación ilícita,2017,3150.0
Total Nacional,Acceso e interceptación ilícita,2016,3243.0
Total Nacional,Acceso e interceptación ilícita,2015,2893.0
Total Nacional,Acceso e interceptación ilícita,2014,1851.0
Total Nacional,Acceso e interceptación ilícita,2013,1805.0
Total Nacional,Acceso e interceptación ilícita,2012,1701.0
Total Nacional,Acceso e interceptación ilícita,2011,1492.0
Total Nacional,Amenazas y coacciones,2019,12782.0
Total Nacional,Amenazas y coacciones,2018,12800.0
Total Nacional,Amenazas y coacciones,2017,11812.0
Total Nacional,Amenazas y coacciones,2016,12036.0
Total Nacional,Amenazas y coacciones,2015,10607.0
Total Nacional,Amenazas y coacciones,2014,9559.0
Total Nacional,Amenazas y coacciones,2013,9064.0
Total Nacional,Amenazas y coacciones,2012,9207.0
Total Nacional,Amenazas y coacciones,2011,9839.0
Total Nacional,Contra el honor,2019,1422.0
Total Nacional,Contra el honor,2018,1448.0
Total Nacional,Contra el honor,2017,1561.0
Total Nacional,Contra el honor,2016,1546.0
Total Nacional,Contra el honor,2015,2205.0
Total Nacional,Contra el honor,2014,2212.0
Total Nacional,Contra el honor,2013,1963.0
Total Nacional,Contra el honor,2012,1891.0
Total Nacional,Contra el honor,2011,1941.0
Total Nacional,Contra la propiedad industrial/intelectual,2019,197.0
Total Nacional,Contra la propiedad industrial/intelectual,2018,232.0
Total Nacional,Contra la propiedad industrial/intelectual,2017,121.0
Total Nacional,Contra la propiedad industrial/intelectual,2016,129.0
Total Nacional,Contra la propiedad industrial/intelectual,2015,172.0
Total Nacional,Contra la propiedad industrial/intelectual,2014,183.0
Total Nacional,Contra la propiedad industrial/intelectual,2013,172.0
Total Nacional,Contra la propiedad industrial/intelectual,2012,144.0
Total Nacional,Contra la propiedad industrial/intelectual,2011,222.0
Total Nacional,Delitos sexuales,2019,1774.0
Total Nacional,Delitos sexuales,2018,1581.0
Total Nacional,Delitos sexuales,2017,1392.0
Total Nacional,Delitos sexuales,2016,1231.0
Total Nacional,Delitos sexuales,2015,1306.0
Total Nacional,Delitos sexuales,2014,974.0
Total Nacional,Delitos sexuales,2013,768.0
Total Nacional,Delitos sexuales,2012,715.0
Total Nacional,Delitos sexuales,2011,755.0
Total Nacional,Falsificación informática,2019,4275.0
Total Nacional,Falsificación informática,2018,3436.0
Total Nacional,Falsificación informática,2017,3280.0
Total Nacional,Falsificación informática,2016,3017.0
Total Nacional,Falsificación informática,2015,2644.0
Total Nacional,Falsificación informática,2014,1874.0
Total Nacional,Falsificación informática,2013,1608.0
Total Nacional,Falsificación informática,2012,1625.0
Total Nacional,Falsificación informática,2011,1860.0
Total Nacional,Fraude informático,2019,192375.0
Total Nacional,Fraude informático,2018,136656.0
Total Nacional,Fraude informático,2017,94792.0
Total Nacional,Fraude informático,2016,70178.0
Total Nacional,Fraude informático,2015,62038.0
Total Nacional,Fraude informático,2014,32842.0
Total Nacional,Fraude informático,2013,26664.0
Total Nacional,Fraude informático,2012,27231.0
Total Nacional,Fraude informático,2011,21075.0
Total Nacional,Interferencia en los datos y en el sistema,2019,1473.0
Total Nacional,Interferencia en los datos y en el sistema,2018,1192.0
Total Nacional,Interferencia en los datos y en el sistema,2017,1291.0
Total Nacional,Interferencia en los datos y en el sistema,2016,1336.0
Total Nacional,Interferencia en los datos y en el sistema,2015,1193.0
Total Nacional,Interferencia en los datos y en el sistema,2014,440.0
Total Nacional,Interferencia en los datos y en el sistema,2013,359.0
Total Nacional,Interferencia en los datos y en el sistema,2012,298.0
Total Nacional,Interferencia en los datos y en el sistema,2011,228.0
Andalucía,Acceso e interceptación ilícita,2019,794.0
Andalucía,Acceso e interceptación ilícita,2018,694.0
Andalucía,Acceso e interceptación ilícita,2017,632.0
Andalucía,Acceso e interceptación ilícita,2016,589.0
Andalucía,Acceso e interceptación ilícita,2015,577.0
Andalucía,Acceso e interceptación ilícita,2014,465.0
Andalucía,Acceso e interceptación ilícita,2013,487.0
Andalucía,Acceso e interceptación ilícita,2012,434.0
Andalucía,Acceso e interceptación ilícita,2011,450.0
Andalucía,Amenazas y coacciones,2019,2888.0
Andalucía,Amenazas y coacciones,2018,2713.0
Andalucía,Amenazas y coacciones,2017,2720.0
Andalucía,Amenazas y coacciones,2016,2717.0
Andalucía,Amenazas y coacciones,2015,2420.0
Andalucía,Amenazas y coacciones,2014,2404.0
Andalucía,Amenazas y coacciones,2013,2241.0
Andalucía,Amenazas y coacciones,2012,2246.0
Andalucía,Amenazas y coacciones,2011,2466.0
Andalucía,Contra el honor,2019,372.0
Andalucía,Contra el honor,2018,368.0
Andalucía,Contra el honor,2017,427.0
Andalucía,Contra el honor,2016,375.0
Andalucía,Contra el honor,2015,527.0
Andalucía,Contra el honor,2014,513.0
Andalucía,Contra el honor,2013,460.0
Andalucía,Contra el honor,2012,437.0
Andalucía,Contra el honor,2011,499.0
Andalucía,Contra la propiedad industrial/intelectual,2019,19.0
Andalucía,Contra la propiedad industrial/intelectual,2018,29.0
Andalucía,Contra la propiedad industrial/intelectual,2017,18.0
Andalucía,Contra la propiedad industrial/intelectual,2016,16.0
Andalucía,Contra la propiedad industrial/intelectual,2015,25.0
Andalucía,Contra la propiedad industrial/intelectual,2014,32.0
Andalucía,Contra la propiedad industrial/intelectual,2013,22.0
Andalucía,Contra la propiedad industrial/intelectual,2012,30.0
Andalucía,Contra la propiedad industrial/intelectual,2011,27.0
Andalucía,Delitos sexuales,2019,332.0
Andalucía,Delitos sexuales,2018,330.0
Andalucía,Delitos sexuales,2017,328.0
Andalucía,Delitos sexuales,2016,257.0
Andalucía,Delitos sexuales,2015,283.0
Andalucía,Delitos sexuales,2014,205.0
