Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Detenciones e investigados,Victimizaciones
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2019,85.0,101.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2018,53.0,89.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2017,86.0,79.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2016,38.0,114.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2015,94.0,61.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2014,76.0,42.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2013,79.0,38.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2012,38.0,43.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2011,24.0,22.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2019,18.0,277.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2018,14.0,239.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2017,19.0,267.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2016,28.0,190.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2015,15.0,214.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2014,25.0,159.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2013,17.0,174.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2012,14.0,89.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2011,16.0,71.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2019,63.0,378.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2018,65.0,328.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2017,69.0,346.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2016,51.0,304.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2015,71.0,275.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2014,63.0,201.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2013,82.0,212.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2012,52.0,132.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2011,38.0,94.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2019,23.0,178.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2018,16.0,181.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2017,25.0,143.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2016,13.0,245.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2015,24.0,163.0
