Comunidad,Grupo Penal,Rango Edad,Sexo,Año,Victimizaciones
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2019,101.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2018,89.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2017,79.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2016,114.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2015,61.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2014,42.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2013,38.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2012,43.0
Total Nacional,Acceso e interceptación ilícita,< 18,Masculino,2011,22.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2019,277.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2018,239.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2017,267.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2016,190.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2015,214.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2014,159.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2013,174.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2012,89.0
Total Nacional,Acceso e interceptación ilícita,< 18,Femenino,2011,71.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2019,378.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2018,328.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2017,346.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2016,304.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2015,275.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2014,201.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2013,212.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2012,132.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Masculino,2011,94.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2019,178.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2018,181.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2017,143.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2016,245.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2015,163.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2014,107.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2013,87.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2012,86.0
Total Nacional,Acceso e interceptación ilícita,18 a 25,Femenino,2011,86.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2019,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2018,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2017,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2016,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2015,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2014,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2013,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2012,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Masculino,2011,0.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2019,663.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2018,582.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2017,515.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2016,1114.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2015,458.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2014,357.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2013,371.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2012,317.0
Total Nacional,Acceso e interceptación ilícita,26 a 40,Femenino,2011,306.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2019,663.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2018,557.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2017,536.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2016,1174.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2015,479.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2014,350.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2013,328.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2012,298.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Masculino,2011,292.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2019,1.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2018,2.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2017,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2016,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2015,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2014,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2013,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2012,0.0
Total Nacional,Acceso e interceptación ilícita,41 a 50,Femenino,2011,0.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2019,387.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2018,276.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2017,306.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2016,353.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2015,229.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2014,156.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2013,160.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2012,128.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Masculino,2011,81.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2019,403.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2018,388.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2017,292.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2016,656.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2015,251.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2014,170.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2013,149.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2012,134.0
Total Nacional,Acceso e interceptación ilícita,51 a 65,Femenino,2011,102.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2019,790.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2018,664.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2017,598.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2016,1009.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2015,480.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2014,326.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2013,309.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2012,263.0
Total Nacional,Acceso e interceptación ilícita,> 65,Masculino,2011,183.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2019,274.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2018,268.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2017,199.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2016,237.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2015,181.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2014,133.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2013,112.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2012,89.0
Total Nacional,Acceso e interceptación ilícita,> 65,Femenino,2011,43.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2019,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2018,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2017,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2016,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2015,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2014,1.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2013,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2012,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Masculino,2011,0.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2019,478.0
Total Nacional,Acceso e interceptación ilícita,Desconocida,Femenino,2018,467.0
