Comunidad,Grupo Penal,Año,Hechos esclarecidos
Total Nacional,Acceso e interceptación ilícita,2019,998.0
Total Nacional,Acceso e interceptación ilícita,2018,999.0
Total Nacional,Acceso e interceptación ilícita,2017,819.0
Total Nacional,Acceso e interceptación ilícita,2016,845.0
Total Nacional,Acceso e interceptación ilícita,2015,724.0
Total Nacional,Acceso e interceptación ilícita,2014,596.0
Total Nacional,Acceso e interceptación ilícita,2013,599.0
Total Nacional,Acceso e interceptación ilícita,2012,561.0
Total Nacional,Acceso e interceptación ilícita,2011,420.0
Total Nacional,Amenazas y coacciones,2019,7893.0
Total Nacional,Amenazas y coacciones,2018,7668.0
Total Nacional,Amenazas y coacciones,2017,7618.0
Total Nacional,Amenazas y coacciones,2016,7070.0
Total Nacional,Amenazas y coacciones,2015,6733.0
Total Nacional,Amenazas y coacciones,2014,6756.0
Total Nacional,Amenazas y coacciones,2013,6434.0
Total Nacional,Amenazas y coacciones,2012,6333.0
Total Nacional,Amenazas y coacciones,2011,6390.0
Total Nacional,Contra el honor,2019,821.0
Total Nacional,Contra el honor,2018,851.0
Total Nacional,Contra el honor,2017,917.0
Total Nacional,Contra el honor,2016,943.0
Total Nacional,Contra el honor,2015,1296.0
Total Nacional,Contra el honor,2014,1317.0
Total Nacional,Contra el honor,2013,1178.0
Total Nacional,Contra el honor,2012,1095.0
Total Nacional,Contra el honor,2011,1004.0
Total Nacional,Contra la propiedad industrial/intelectual,2019,130.0
Total Nacional,Contra la propiedad industrial/intelectual,2018,179.0
Total Nacional,Contra la propiedad industrial/intelectual,2017,88.0
Total Nacional,Contra la propiedad industrial/intelectual,2016,78.0
Total Nacional,Contra la propiedad industrial/intelectual,2015,127.0
Total Nacional,Contra la propiedad industrial/intelectual,2014,142.0
Total Nacional,Contra la propiedad industrial/intelectual,2013,112.0
Total Nacional,Contra la propiedad industrial/intelectual,2012,104.0
Total Nacional,Contra la propiedad industrial/intelectual,2011,170.0
Total Nacional,Delitos sexuales,2019,1126.0
Total Nacional,Delitos sexuales,2018,1024.0
Total Nacional,Delitos sexuales,2017,913.0
Total Nacional,Delitos sexuales,2016,839.0
Total Nacional,Delitos sexuales,2015,885.0
Total Nacional,Delitos sexuales,2014,676.0
Total Nacional,Delitos sexuales,2013,543.0
Total Nacional,Delitos sexuales,2012,497.0
Total Nacional,Delitos sexuales,2011,406.0
Total Nacional,Falsificación informática,2019,1098.0
Total Nacional,Falsificación informática,2018,1036.0
Total Nacional,Falsificación informática,2017,1023.0
Total Nacional,Falsificación informática,2016,796.0
Total Nacional,Falsificación informática,2015,684.0
Total Nacional,Falsificación informática,2014,504.0
Total Nacional,Falsificación informática,2013,447.0
Total Nacional,Falsificación informática,2012,455.0
Total Nacional,Falsificación informática,2011,392.0
Total Nacional,Fraude informático,2019,18712.0
Total Nacional,Fraude informático,2018,15542.0
Total Nacional,Fraude informático,2017,12893.0
Total Nacional,Fraude informático,2016,11494.0
Total Nacional,Fraude informático,2015,10344.0
Total Nacional,Fraude informático,2014,7884.0
Total Nacional,Fraude informático,2013,7017.0
Total Nacional,Fraude informático,2012,5938.0
Total Nacional,Fraude informático,2011,4735.0
Total Nacional,Interferencia en los datos y en el sistema,2019,63.0
Total Nacional,Interferencia en los datos y en el sistema,2018,74.0
Total Nacional,Interferencia en los datos y en el sistema,2017,77.0
Total Nacional,Interferencia en los datos y en el sistema,2016,82.0
Total Nacional,Interferencia en los datos y en el sistema,2015,66.0
Total Nacional,Interferencia en los datos y en el sistema,2014,43.0
Total Nacional,Interferencia en los datos y en el sistema,2013,48.0
Total Nacional,Interferencia en los datos y en el sistema,2012,42.0
Total Nacional,Interferencia en los datos y en el sistema,2011,40.0
Andalucía,Acceso e interceptación ilícita,2019,177.0
Andalucía,Acceso e interceptación ilícita,2018,172.0
Andalucía,Acceso e interceptación ilícita,2017,175.0
Andalucía,Acceso e interceptación ilícita,2016,175.0
Andalucía,Acceso e interceptación ilícita,2015,156.0
Andalucía,Acceso e interceptación ilícita,2014,162.0
Andalucía,Acceso e interceptación ilícita,2013,155.0
Andalucía,Acceso e interceptación ilícita,2012,136.0
Andalucía,Acceso e interceptación ilícita,2011,128.0
Andalucía,Amenazas y coacciones,2019,1887.0
Andalucía,Amenazas y coacciones,2018,1762.0
Andalucía,Amenazas y coacciones,2017,1858.0
Andalucía,Amenazas y coacciones,2016,1569.0
Andalucía,Amenazas y coacciones,2015,1603.0
Andalucía,Amenazas y coacciones,2014,1724.0
Andalucía,Amenazas y coacciones,2013,1644.0
Andalucía,Amenazas y coacciones,2012,1576.0
Andalucía,Amenazas y coacciones,2011,1613.0
Andalucía,Contra el honor,2019,198.0
Andalucía,Contra el honor,2018,204.0
Andalucía,Contra el honor,2017,236.0
Andalucía,Contra el honor,2016,225.0
Andalucía,Contra el honor,2015,308.0
Andalucía,Contra el honor,2014,290.0
Andalucía,Contra el honor,2013,286.0
Andalucía,Contra el honor,2012,264.0
Andalucía,Contra el honor,2011,256.0
Andalucía,Contra la propiedad industrial/intelectual,2019,11.0
Andalucía,Contra la propiedad industrial/intelectual,2018,19.0
Andalucía,Contra la propiedad industrial/intelectual,2017,12.0
Andalucía,Contra la propiedad industrial/intelectual,2016,11.0
Andalucía,Contra la propiedad industrial/intelectual,2015,19.0
Andalucía,Contra la propiedad industrial/intelectual,2014,24.0
Andalucía,Contra la propiedad industrial/intelectual,2013,17.0
Andalucía,Contra la propiedad industrial/intelectual,2012,24.0
Andalucía,Contra la propiedad industrial/intelectual,2011,24.0
Andalucía,Delitos sexuales,2019,198.0
Andalucía,Delitos sexuales,2018,225.0
Andalucía,Delitos sexuales,2017,223.0
Andalucía,Delitos sexuales,2016,168.0
Andalucía,Delitos sexuales,2015,195.0
Andalucía,Delitos sexuales,2014,153.0
Andalucía,Delitos sexuales,2013,129.0
Andalucía,Delitos sexuales,2012,88.0
Andalucía,Delitos sexuales,2011,66.0
Andalucía,Falsificación informática,2019,216.0
Andalucía,Falsificación informática,2018,235.0
Andalucía,Falsificación informática,2017,237.0
Andalucía,Falsificación informática,2016,216.0
Andalucía,Falsificación informática,2015,158.0
Andalucía,Falsificación informática,2014,133.0
Andalucía,Falsificación informática,2013,122.0
Andalucía,Falsificación informática,2012,106.0
Andalucía,Falsificación informática,2011,109.0
Andalucía,Fraude informático,2019,3958.0
Andalucía,Fraude informático,2018,3064.0
Andalucía,Fraude informático,2017,2649.0
Andalucía,Fraude informático,2016,2468.0
Andalucía,Fraude informático,2015,2269.0
Andalucía,Fraude informático,2014,1835.0
Andalucía,Fraude informático,2013,1615.0
Andalucía,Fraude informático,2012,1410.0
Andalucía,Fraude informático,2011,1140.0
Andalucía,Interferencia en los datos y en el sistema,2019,10.0
Andalucía,Interferencia en los datos y en el sistema,2018,11.0
Andalucía,Interferencia en los datos y en el sistema,2017,14.0
Andalucía,Interferencia en los datos y en el sistema,2016,16.0
Andalucía,Interferencia en los datos y en el sistema,2015,11.0
Andalucía,Interferencia en los datos y en el sistema,2014,11.0
Andalucía,Interferencia en los datos y en el sistema,2013,10.0
Andalucía,Interferencia en los datos y en el sistema,2012,10.0
Andalucía,Interferencia en los datos y en el sistema,2011,9.0
Aragón,Acceso e interceptación ilícita,2019,28.0
Aragón,Acceso e interceptación ilícita,2018,26.0
Aragón,Acceso e interceptación ilícita,2017,22.0
Aragón,Acceso e interceptación ilícita,2016,32.0
Aragón,Acceso e interceptación ilícita,2015,16.0
Aragón,Acceso e interceptación ilícita,2014,19.0
Aragón,Acceso e interceptación ilícita,2013,28.0
Aragón,Acceso e interceptación ilícita,2012,28.0
Aragón,Acceso e interceptación ilícita,2011,22.0
Aragón,Amenazas y coacciones,2019,235.0
Aragón,Amenazas y coacciones,2018,222.0
Aragón,Amenazas y coacciones,2017,208.0
Aragón,Amenazas y coacciones,2016,210.0
